"characteristics","target","targetSd","comparator","comparatorSd","tag","isNa","targetSize","comparatorSize","statistics","analysisId","conceptIds","hasValue","summary","conceptSetId"
"Previous CABG","8","","7","","Medical history","","","","n","210","2100872;2100873;2107216;2107217;2107218;2107219;2107220;2107221;2107222;2107223;2107224;2107226;2107227;2107228;2107231;2107242;2107243;2107244;2107250;2108631;2617584;2721131;2721132;2721133;2721134;2724714;2724715;2724716;2724717;2724718;2724719;2724720;2724721;2724722;2724723;2724724;2724725;2724726;2724727;2724728;2724729;2724730;2724731;2724732;2724733;2724734;2724735;2724736;2724737;2724738;2724739;2724740;2724741;2724742;2724743;2724744;2724745;2724746;2724747;2724748;2724749;2724750;2724751;2724752;2724753;2724754;2724755;2724756;2724757;2724758;2724759;2724760;2724761;2724762;2724763;2724764;2724765;2724766;2725213;2725214;2725215;2725216;2725217;2725218;2725219;2725220;2725221;2725222;2725223;2725224;2725225;2725226;2725227;2725228;2725229;2725230;2725231;2725232;2725233;2725234;2725235;2725236;2725237;2725238;2725239;2725240;2725241;2725242;2725243;2725244;2725245;2725246;2725247;2725248;2725249;2725250;2725251;2725252;2725253;2725254;2725255;2725256;2725257;2725258;2725259;2725260;2725261;2725262;2725263;2725264;2725265;2725266;2725267;2725268;2725269;2725270;2725271;2725272;2725273;2725274;2725275;2725276;2725277;2725278;2725279;2725280;2725281;2725282;2725283;2725284;2725285;2725286;2725287;2725288;2725289;2725290;2725291;2725292;2725293;2725294;2725295;2725296;2725297;2725298;2725299;2725300;2725301;2725302;2725303;2725304;2725305;2725306;2725307;2725308;2725309;2725310;2725311;2725312;2725313;2725314;2725315;2725316;2725317;2725318;2725319;2725320;2725321;2725322;2725323;2725324;2725325;2725326;2725327;2725328;2725329;2725330;2725331;2725332;2725333;2725334;2725335;2725336;2725337;2725338;2725339;2725340;2725341;2725342;2725343;2725344;2725345;2725346;2725347;2725348;2725349;2725350;2725351;2725352;2725353;2725354;2725355;2725356;2725357;2725358;2725359;2725360;2725361;2725362;2725363;2725364;2725365;2725366;2725367;2725368;2725369;2725370;2725371;2725372;2725373;2725374;2725375;2725376;2725377;2725378;2725379;2725380;2725381;2725382;2725383;2725384;2725385;2725386;2725387;2725388;2725389;2725390;2725391;2725392;2725393;2725394;2725395;2725396;2725397;2725398;2725399;2725400;2725401;2725402;2725403;2725404;2725405;2725406;2725407;4000732;4000733;4011931;4018579;4018692;4018693;4018762;4020213;4020217;4140107;4146972;4148030;4148779;4166585;4168141;4169964;4173645;4173656;4189169;4219321;4233420;4233421;4253805;4302815;4305509;4309432;4336464;4336465;4336466;4336467;4337056;4337737;4339629;37111313;42537524;42537525;42537526;42537527;42537528;42537529;42537530;42537531;42537532;42537533;42537534;42539671;42894223;42894224;42894225;42894226;42894227;42894228;42894229;42894230;42894231;42894232;42894233;42894234;42894235;42894236;42894237;42894238;42894239;42894240;42894241;42894242;42894243;42894244;42894245;42894246;42894247;42894248;42894249;42894250;42894251;42894252;42894253;42894254;42894255;42894256;42894257;42894258;42894398;42894399;42894400;42894401;42894402;42894403;42894404;42894405;42894406;42894407;42894408;42894409;43528000;43528001;43528002;43528003;43528004;44511074;44511075;44511077;44511079;44511082;44511083;44511085;44511086;44511087;44511088;44511089;44511091;44511092;44511093;44511094;44511095;44511099;44511107;44511110;44511114;44806690","","",289
"Creatinine clearance <60 ml/min","11","","12","","Creatinine clearance","","","","n","705","3005770;3022988;3027108","","",118
"PCI","99","","99","","Index procedure","","","","n","501","2000064;2001505;2001506;2313801;2313802;2313803;2313804;2313810;2313811;2617369;2617370;2725469;2725470;2725471;2725472;2725473;2725474;2725475;2725476;2725904;2725905;2725906;2725907;2725908;2725909;2725910;2725911;2725928;2725929;2725930;2725931;2725932;2725933;2725934;2725935;2725952;2725953;2725954;2725955;2725956;2725957;2725958;2725959;3170433;3173558;3180695;3181809;3186322;3190422;4006788;4020653;4139198;4171077;4175997;4178148;4181025;4214516;4216356;4225903;4238755;4264285;4264286;4265293;4283892;4328103;4329263;4337738;35607959;37111313;40756929;42894479;42894480;42894481;42894482;42894483;42894484;42894598;42894599;42894600;42894601;42894602;42894603;42894604;42894605;42894606;42894607;42894608;42894609;42894643;42894644;42894645;42894646;42894647;42894648;42894649;42894650;42894651;42894652;42894653;42894654;42894667;42894668;42894669;42894670;42894671;42894672;42894697;42894698;42894699;42894700;42894701;42894702;42894703;42894704;42894705;42894706;42894707;42894708;43527908;43527909;43527994;43527995;43527996;43527997;43527998;43527999;43531438;43531439;43531440;43533247;43533248;43533352;43533353;44511130;44511131;44511133;44511268;44511269;44511270;44511271;44511272;44511273;44511532;44512256;44784573;44789455;45770795","","",193
"CABG","1","","1","","Index procedure","","","","n","501","2100872;2100873;2107216;2107217;2107218;2107219;2107220;2107221;2107222;2107223;2107224;2107226;2107227;2107228;2107231;2107242;2107243;2107244;2107250;2108631;2617584;2721131;2721132;2721133;2721134;2724714;2724715;2724716;2724717;2724718;2724719;2724720;2724721;2724722;2724723;2724724;2724725;2724726;2724727;2724728;2724729;2724730;2724731;2724732;2724733;2724734;2724735;2724736;2724737;2724738;2724739;2724740;2724741;2724742;2724743;2724744;2724745;2724746;2724747;2724748;2724749;2724750;2724751;2724752;2724753;2724754;2724755;2724756;2724757;2724758;2724759;2724760;2724761;2724762;2724763;2724764;2724765;2724766;2725213;2725214;2725215;2725216;2725217;2725218;2725219;2725220;2725221;2725222;2725223;2725224;2725225;2725226;2725227;2725228;2725229;2725230;2725231;2725232;2725233;2725234;2725235;2725236;2725237;2725238;2725239;2725240;2725241;2725242;2725243;2725244;2725245;2725246;2725247;2725248;2725249;2725250;2725251;2725252;2725253;2725254;2725255;2725256;2725257;2725258;2725259;2725260;2725261;2725262;2725263;2725264;2725265;2725266;2725267;2725268;2725269;2725270;2725271;2725272;2725273;2725274;2725275;2725276;2725277;2725278;2725279;2725280;2725281;2725282;2725283;2725284;2725285;2725286;2725287;2725288;2725289;2725290;2725291;2725292;2725293;2725294;2725295;2725296;2725297;2725298;2725299;2725300;2725301;2725302;2725303;2725304;2725305;2725306;2725307;2725308;2725309;2725310;2725311;2725312;2725313;2725314;2725315;2725316;2725317;2725318;2725319;2725320;2725321;2725322;2725323;2725324;2725325;2725326;2725327;2725328;2725329;2725330;2725331;2725332;2725333;2725334;2725335;2725336;2725337;2725338;2725339;2725340;2725341;2725342;2725343;2725344;2725345;2725346;2725347;2725348;2725349;2725350;2725351;2725352;2725353;2725354;2725355;2725356;2725357;2725358;2725359;2725360;2725361;2725362;2725363;2725364;2725365;2725366;2725367;2725368;2725369;2725370;2725371;2725372;2725373;2725374;2725375;2725376;2725377;2725378;2725379;2725380;2725381;2725382;2725383;2725384;2725385;2725386;2725387;2725388;2725389;2725390;2725391;2725392;2725393;2725394;2725395;2725396;2725397;2725398;2725399;2725400;2725401;2725402;2725403;2725404;2725405;2725406;2725407;4000732;4000733;4011931;4018579;4018692;4018693;4018762;4020213;4020217;4140107;4146972;4148030;4148779;4166585;4168141;4169964;4173645;4173656;4189169;4219321;4233420;4233421;4253805;4302815;4305509;4309432;4336464;4336465;4336466;4336467;4337056;4337737;4339629;37111313;42537524;42537525;42537526;42537527;42537528;42537529;42537530;42537531;42537532;42537533;42537534;42539671;42894223;42894224;42894225;42894226;42894227;42894228;42894229;42894230;42894231;42894232;42894233;42894234;42894235;42894236;42894237;42894238;42894239;42894240;42894241;42894242;42894243;42894244;42894245;42894246;42894247;42894248;42894249;42894250;42894251;42894252;42894253;42894254;42894255;42894256;42894257;42894258;42894398;42894399;42894400;42894401;42894402;42894403;42894404;42894405;42894406;42894407;42894408;42894409;43528000;43528001;43528002;43528003;43528004;44511074;44511075;44511077;44511079;44511082;44511083;44511085;44511086;44511087;44511088;44511089;44511091;44511092;44511093;44511094;44511095;44511099;44511107;44511110;44511114;44806690","","",289
"Stent","94","","95","","Index procedure","Y","","","n","","","","",NA
"Bare-metal stent only","48","","47","","Index procedure","Y","","","n","","","","",NA
"1<= Drug-eluting stent","47","","47","","Index procedure","Y","","","n","","","","",NA
"Multivessel PCI","14","","14","","Index procedure","Y","","","n","","","","",NA
"Heparin","66","","65","","Antithrombin use to support PCI","Y","","","n","","","","",NA
"LMWH","9","","8","","Antithrombin use to support PCI","Y","","","n","","","","",NA
"Bivalirudin","3","","3","","Antithrombin use to support PCI","Y","","","n","","","","",NA
"Other or multiple therapies","22","","23","","Antithrombin use to support PCI","Y","","","n","","","","",NA
"Glycoprotein IIb/IIIa_eceptor antagonist use during index hospitalization","54","","55","","Glycoprotein IIb/IIIa_eceptor antagonist use during index hospitalization","Y","","","n","","","","",NA
"Before PCI","26","","25","","Timing of study-drug administration","Y","","","n","","","","",NA
"During PCI","73","","74","","Timing of study-drug administration","Y","","","n","","","","",NA
"After PCI","1","","1","","Timing of study-drug administration","Y","","","n","","","","",NA
