characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary,conceptSetId
History of myocardial infarction,2190,,1083,,CV risk factor,,,,n,210,312327;314666;319039;434376;436706;438170;438438;438447;439693;441579;444406;761736;761737;765132;3188631;3189643;4030582;4051874;4108217;4108218;4108669;4108677;4119456;4119457;4119943;4119944;4119945;4119946;4119947;4119948;4119949;4119950;4121464;4121465;4121466;4121467;4121468;4124684;4124685;4124686;4126801;4138833;4145721;4147223;4151046;4154704;4170094;4173632;4178129;4200113;4206867;4207921;4209541;4215259;4243372;4267568;4270024;4275436;4296653;4303359;4323202;4324413;4329847;35610087;35610089;35610091;35610093;35611570;35611571;37309626;43020460;44782712;44782769;45766075;45766076;45766113;45766114;45766115;45766116;45766150;45766151;45766241;45771322;45773170;46270158;46270159;46270160;46270161;46270162;46270163;46270164;46273495;46274044,,,366
Coronary artery bypass graft,1175,,563,,CV risk factor,,,,n,501,2100872;2100873;2107216;2107217;2107218;2107219;2107220;2107221;2107222;2107223;2107224;2107226;2107227;2107228;2107231;2107242;2107243;2107244;2107250;2108631;2617584;2721131;2721132;2721133;2721134;2724714;2724715;2724716;2724717;2724718;2724719;2724720;2724721;2724722;2724723;2724724;2724725;2724726;2724727;2724728;2724729;2724730;2724731;2724732;2724733;2724734;2724735;2724736;2724737;2724738;2724739;2724740;2724741;2724742;2724743;2724744;2724745;2724746;2724747;2724748;2724749;2724750;2724751;2724752;2724753;2724754;2724755;2724756;2724757;2724758;2724759;2724760;2724761;2724762;2724763;2724764;2724765;2724766;2725213;2725214;2725215;2725216;2725217;2725218;2725219;2725220;2725221;2725222;2725223;2725224;2725225;2725226;2725227;2725228;2725229;2725230;2725231;2725232;2725233;2725234;2725235;2725236;2725237;2725238;2725239;2725240;2725241;2725242;2725243;2725244;2725245;2725246;2725247;2725248;2725249;2725250;2725251;2725252;2725253;2725254;2725255;2725256;2725257;2725258;2725259;2725260;2725261;2725262;2725263;2725264;2725265;2725266;2725267;2725268;2725269;2725270;2725271;2725272;2725273;2725274;2725275;2725276;2725277;2725278;2725279;2725280;2725281;2725282;2725283;2725284;2725285;2725286;2725287;2725288;2725289;2725290;2725291;2725292;2725293;2725294;2725295;2725296;2725297;2725298;2725299;2725300;2725301;2725302;2725303;2725304;2725305;2725306;2725307;2725308;2725309;2725310;2725311;2725312;2725313;2725314;2725315;2725316;2725317;2725318;2725319;2725320;2725321;2725322;2725323;2725324;2725325;2725326;2725327;2725328;2725329;2725330;2725331;2725332;2725333;2725334;2725335;2725336;2725337;2725338;2725339;2725340;2725341;2725342;2725343;2725344;2725345;2725346;2725347;2725348;2725349;2725350;2725351;2725352;2725353;2725354;2725355;2725356;2725357;2725358;2725359;2725360;2725361;2725362;2725363;2725364;2725365;2725366;2725367;2725368;2725369;2725370;2725371;2725372;2725373;2725374;2725375;2725376;2725377;2725378;2725379;2725380;2725381;2725382;2725383;2725384;2725385;2725386;2725387;2725388;2725389;2725390;2725391;2725392;2725393;2725394;2725395;2725396;2725397;2725398;2725399;2725400;2725401;2725402;2725403;2725404;2725405;2725406;2725407;4000732;4000733;4011931;4018579;4018692;4018693;4018762;4020213;4020217;4140107;4146972;4148030;4148779;4166585;4168141;4169964;4173645;4173656;4189169;4219321;4233420;4233421;4253805;4302815;4305509;4309432;4336464;4336465;4336466;4336467;4337056;4337737;4339629;37111313;42537524;42537525;42537526;42537527;42537528;42537529;42537530;42537531;42537532;42537533;42537534;42539671;42894223;42894224;42894225;42894226;42894227;42894228;42894229;42894230;42894231;42894232;42894233;42894234;42894235;42894236;42894237;42894238;42894239;42894240;42894241;42894242;42894243;42894244;42894245;42894246;42894247;42894248;42894249;42894250;42894251;42894252;42894253;42894254;42894255;42894256;42894257;42894258;42894398;42894399;42894400;42894401;42894402;42894403;42894404;42894405;42894406;42894407;42894408;42894409;43528000;43528001;43528002;43528003;43528004;44511074;44511075;44511077;44511079;44511082;44511083;44511085;44511086;44511087;44511088;44511089;44511091;44511092;44511093;44511094;44511095;44511099;44511107;44511110;44511114;44806690,,,289
History of stroke,1084,,553,,CV risk factor,,,,n,210,372435;372924;375557;376713;377254;379778;432923;439847;441874;443454;443790;443864;444091;761110;762933;762934;762935;762937;762951;763015;765515;3179950;3184775;3185378;3188164;4031045;4043731;4043732;4045735;4045737;4045738;4045740;4045741;4046089;4046090;4046237;4046358;4046359;4046360;4046361;4046362;4048784;4077086;4108356;4110189;4110190;4110192;4111714;4119140;4129534;4131383;4138327;4141405;4142739;4145897;4146185;4148906;4298750;4319146;35610084;35610085;36717605;37110678;37110679;37116473;37395562;40479572;42535465;42535466;42535523;42535524;43530683;43530727;43531607;44782773;45767658;45772786;46270031;46270380;46270381;46273649,,,225
Peripheral artery disease ,982,,479,,CV risk factor,,,,n,210,134380;318712;321052;321822;443729;761463;761464;761465;761466;761467;3176677;3181089;3184873;3192767;3198350;4033350;4055720;4116977;4119612;4124836;4124837;4124838;4124839;4131908;4139577;4139578;4139579;4146012;4168060;4199887;4200875;4202511;4208071;4235591;4253510;4263089;4263648;4289307;4291464;4294425;4299117;4299127;4301022;4301023;4301024;35615036;35615071;35615073;36713094;42572961;42597028;42597030;42599607;43020443;43021846;44782775;44811347;44811348,,,199
Single vessel coronary artery disease,498,,238,,CV risk factor,,,,n,210,4111393,,,397
Cardiac failure,462,,244,,CV risk factor,,,,n,210,312927;314378;316139;316994;319835;439694;439696;439698;439846;442310;443580;443587;444031;444101;762002;762003;764871;764872;764873;764874;764876;764877;3184320;4004279;4009047;4014159;4023479;4030258;4071869;4079296;4079695;4103448;4108244;4108245;4111554;4124705;4138307;4139864;4141124;4142561;4172864;4177493;4185565;4193236;4195785;4195892;4199500;4205558;4206009;4215446;4215802;4229440;4233224;4233424;4242669;4259490;4264636;4267800;4273632;4284562;4307356;4311437;4327205;35615055;36712927;36712928;36712929;36713488;36716182;36716748;36717359;37110330;37309625;37311948;40479192;40479576;40480602;40480603;40481042;40481043;40482857;40486933;42598803;43020421;43020657;43021735;43021736;43021825;43021826;43021840;43021841;43021842;43022054;43022068;43530642;43530643;43530961;44782428;44782655;44782713;44782718;44782719;44782728;44782733;44784345;44784442;45766164;45766165;45766166;45766167;45766964;45773075,,,191
Glycated hemoglobin  %,8.07,0.85,8.08,0.84,Lab values,,,,mean,705,2212392;3004410,,Y,124
Time since diagnosis of type 2 diabetes  no. (%),0,,0,,Time since diagnosis of type 2 diabetes,Y,,,continuous,,,,,NA
Metformin,3459,,1734,,Medication history,,,,n,410,,,,281
Insulin,2252,,1135,,Medication history,,,,n,410,,,,325
