characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary,conceptSetId
α-Glucosidase inhibitor,97,,92,,Medication history,,,,n,410,1529331;1529352;1529358;1529359;1529360;19021312;19021786;19021787;19023063;19040969;19040970;19047612;19120257;21023840;21023841;21023842;21033607;21033608;21033609;21033610;21033611;21033613;21043513;21043514;21043515;21043516;21053311;21053312;21053313;21053314;21053315;21053316;21053317;21063135;21063136;21063137;21063138;21063139;21082706;21082707;21082708;21082709;21082710;21082711;21092500;21092501;21092502;21092503;21092504;21092505;21092506;21102394;21102395;21102396;21102397;21102398;21102399;21112201;21112202;21112203;21112204;21112205;21121903;21121904;21121905;21121906;21121907;21121908;21131665;21131666;21131667;21131668;21131669;21131670;21131671;21131672;21131673;21131674;21131675;21131676;21141640;21141641;21141642;21141643;21151447;21151448;21151449;21151450;21161364;21161365;21161367;21161368;21171137;21171138;21171139;21171140;21171141;21171142;35129275;35129407;35129435;35132286;35132447;35132730;35133913;35134569;35135120;35136328;35137809;35140242;35142610;35144652;35145562;35147572;35147601;35148057;35150395;35151157;35153637;35156051;35156151;35156344;35157246;35158466;35158605;35158981;35407889;35411818;35743739;35752046;35764578;35768777;36216897;36216898;36242198;36242199;36266189;36268545;36275188;40003412;40003413;40725561;40726053;40726054;40726055;40726056;40726057;40726058;40726059;40726060;40726061;40726062;40726063;40726064;40726065;40726066;40726067;40820998;40821575;40822260;40824137;40825314;40838791;40850920;40857283;40857284;40857285;40857286;40857287;40857288;40857289;40857290;40857291;40857292;40861480;40882149;40882150;40882151;40888596;40888597;40888598;40888599;40888600;40888601;40892680;40892681;40900965;40913194;40913195;40913196;40913197;40919575;40919576;40919577;40919578;40919579;40919580;40919581;40919582;40932063;40944464;40944465;40944466;40950722;40950723;40950724;40950725;40950726;40950727;40954958;40975398;40975399;40975400;40975401;40975402;40981873;40981874;40981875;40981876;40981877;40981878;40981879;40994579;40994580;40994581;41006774;41013142;41013143;41013144;41013145;41013146;41013147;41013148;41020412;41037877;41044249;41044250;41044251;41044252;41051643;41056862;41069107;41069108;41069109;41069110;41069111;41069112;41069113;41075633;41075634;41075635;41075636;41075637;41088344;41100593;41100594;41100595;41100596;41100597;41107072;41107073;41107074;41107075;41107076;41107077;41107078;41131899;41131900;41131901;41138524;41138525;41138526;41138527;41163246;41163247;41163248;41163249;41169640;41169641;41169642;41169643;41169644;41169645;41169646;41194543;41194544;41194545;41194546;41194547;41194548;41194549;41201027;41201028;41201029;41201030;41201031;41201032;41201033;41201034;41201035;41201036;41201037;41201038;41201039;41213549;41225602;41225603;41225604;41225605;41232101;41232102;41232103;41232104;41232105;41232106;41232107;41236244;41236245;41244554;41244555;41256509;41262835;41262836;41262837;41262838;41262839;41262840;41262841;41262842;41262843;41287556;41287557;41287558;41294021;41294022;41294023;41294024;41294025;41294026;41301350;41306541;41306542;41318959;41325345;41325346;41325347;41325348;41325349;41325350;41325351;41325352;42876073;43034926;43034927;43034928;43034929;43034930;43034931;43034932;43034933;43034934;43034935;43134694;43134695;43134696;43134697;43134698;43134699;43134700;43134701;43134702;43145587;43145588;43145589;43145590;43145591;43145592;43145593;43145594;43145595;43145596;43145597;43145598;43156822;43156823;43156824;43156825;43156826;43156827;43156828;43156829;43156830;43156831;43167764;43167765;43167766;43167767;43167768;43167769;43167770;43178822;43178823;43178824;43178825;43178826;43178827;43178828;43178829;43178830;43189722;43189723;43189724;43189725;43189726;43189727;43189728;43189729;43200745;43200746;43200747;43200748;43200749;43200750;43200751;43211554;43211555;43211556;43211557;43211558;43211559;43211560;43211561;43211562;43211563;43211564;43259963;43259964;43265399;43265400;43270885;43270886;43270887;43270888;43270889;43276392;43276393;43276394;43276395;43276396;43281762;43281763;43287223;43287224;43287225;43287226;43292592;43292593;43586564;43586565;43586567;43604713;43604714;43604715;43622573;43622574;43622575;43640771;43640772;43640773;43658904;43658905;43658906;43676940;43676941;43676942;43694734;43712588;43730615;43730616;43730617;43730618;43748515;43748516;43748517;43766522;43766523;43766525;43784608;43784609;43802506;43802507;43802508;43802509;43802510;43820639;43820640;43820641;43820642;43820643;43820644;43838686;43838687;43838691;43856766;43856768;44160491;44160492;44162885;44162886;44174191;44175548;44183044;44189251,,,286
Glinide,28,,38,,Medication history,,,,n,410,1502826;1502827;1502829;1502830;1502873;1516766;1516770;1516771;1516794;1516795;19023424;19023425;19023426;19045605;19045606;19047663;19054443;19054444;19054445;19071495;19078028;19078029;19078030;19081914;19085096;19085097;19102037;19107110;19107111;19110957;19110958;19120528;19120529;19120530;21023823;21023824;21023825;21023826;21023827;21023828;21023829;21023830;21023831;21023832;21023835;21023836;21023837;21023838;21023839;21024064;21024065;21024066;21033596;21033597;21033598;21033599;21033600;21033601;21033602;21033603;21033604;21033605;21033606;21043500;21043501;21043502;21043505;21043506;21043507;21043508;21043509;21043511;21043735;21043736;21053302;21053303;21053304;21053305;21053307;21053308;21053309;21053543;21063125;21063126;21063128;21063129;21063130;21063131;21063132;21063133;21063134;21063378;21073022;21073023;21073024;21073025;21073027;21073029;21073030;21073031;21073269;21082696;21082697;21082698;21082699;21082700;21082701;21082702;21082703;21082704;21082705;21082974;21092496;21092497;21092498;21092499;21092747;21092748;21092749;21092750;21102385;21102386;21102387;21102388;21102389;21102390;21102392;21102645;21112192;21112193;21112194;21112195;21112196;21112198;21112199;21112200;21112456;21112457;21112458;21121890;21121891;21121892;21121894;21121895;21121896;21121897;21121898;21121899;21121900;21121901;21121902;21122114;21122115;21122116;21122117;21131659;21131660;21131661;21131662;21131664;21131915;21131916;21141628;21141629;21141630;21141631;21141633;21141634;21141635;21141637;21141638;21141639;21151428;21151429;21151430;21151431;21151432;21151433;21151434;21151435;21151436;21151437;21151438;21151439;21151440;21151441;21151442;21151443;21151444;21151445;21151700;21151701;21151702;21161360;21161362;21161363;21161621;21161622;21171121;21171122;21171123;21171124;21171125;21171126;21171127;21171128;21171129;21171130;21171131;21171132;21171133;21171134;21171135;21171380;21171381;35132103;35132645;35134016;35137773;35138391;35139564;35139816;35145653;35146851;35147646;35147814;35148299;35148844;35153582;35157302;35157468;35159032;35161304;35407109;35408719;35408746;35410704;35412572;36213643;36213644;36223133;36223134;36223777;36223778;36231452;36231453;36232423;36232424;36240427;36240428;36240429;36240430;36257466;36257467;36259988;36261034;36263840;36265133;36267713;36267714;36267715;36268550;36269168;36271583;36272750;36272751;36274075;36276366;36276530;36276693;36404009;36404800;36404802;36405557;36406311;36406312;36407121;36407124;36407125;36407126;36407858;36407859;36408603;36409397;36409398;36881434;36889675;36892638;40058198;40058199;40098705;40098706;40098707;40153147;40153892;40164907;40164908;40164909;40164910;40164911;40164912;40725065;40725066;40725067;40725068;40725069;40725070;40725071;40725072;40725073;40725074;40725075;40725076;40725077;40725078;40725079;40725080;40725081;40725082;40725083;40725084;40725085;40725086;40725087;40725475;40725476;40725477;40725478;40725479;40725480;40725482;40725483;40725484;40725485;40725486;40725487;40741175;40741176;40741177;40741178;40822096;40823144;40828029;40834393;40834394;40834395;40835051;40840951;40840952;40840953;40840954;40840955;40840956;40840957;40840958;40840959;40852198;40852199;40852200;40852201;40852202;40852203;40852204;40852205;40852206;40852207;40852208;40852209;40852210;40852211;40852212;40852213;40852214;40853356;40865529;40872073;40872074;40872075;40872076;40872077;40872078;40883484;40883485;40883486;40883487;40883488;40883489;40883490;40883491;40883492;40883493;40883494;40884578;40890602;40897364;40903094;40903096;40903097;40903098;40903099;40903100;40903101;40903103;40903104;40914381;40914382;40914383;40914384;40914385;40914386;40914387;40914388;40914389;40915519;40915520;40921568;40927711;40927712;40927713;40934296;40934297;40934298;40934299;40934300;40934301;40934302;40934303;40934304;40934305;40934306;40945788;40945789;40945790;40945791;40945792;40945793;40945794;40945795;40945796;40945797;40945798;40946878;40946879;40946880;40959692;40965461;40965462;40965463;40965464;40965465;40965466;40967450;40967451;40976699;40976700;40976701;40976702;40976703;40976704;40976705;40976706;40976707;40976708;40976709;40976710;40977865;40990227;40996793;40996794;40996795;40996796;40996797;41008059;41008060;41008061;41008062;41008063;41008064;41008065;41008066;41008067;41008068;41008069;41008070;41008071;41009213;41009214;41027820;41027821;41027822;41027823;41027824;41027825;41027826;41027827;41027828;41027829;41027830;41027831;41027832;41039141;41039142;41039143;41039144;41039145;41039146;41039147;41039148;41039149;41039150;41039151;41039152;41040317;41059030;41059031;41059032;41059033;41059034;41059035;41059036;41059038;41059039;41059040;41059041;41059042;41059043;41070444;41070445;41070446;41070447;41070448;41070449;41070450;41071604;41071605;41071606;41077676;41077677;41084006;41090594;41090595;41090597;41090598;41090599;41090600;41090601;41090602;41090603;41092549;41101867;41101868;41101869;41101870;41101871;41101872;41101873;41101874;41101875;41101876;41101877;41101878;41101879;41101880;41101881;41115965;41121795;41121796;41121797;41121798;41121799;41121800;41121802;41121803;41121804;41133211;41133212;41133213;41133214;41133215;41133216;41133217;41133218;41133219;41133220;41134420;41140439;41140440;41140441;41143939;41153330;41153331;41153332;41153333;41153334;41153335;41153336;41164556;41164557;41164558;41164559;41164560;41164561;41164562;41164563;41164564;41164565;41164566;41164567;41164568;41164569;41165681;41165682;41174898;41178497;41184344;41184345;41184346;41184347;41184348;41184349;41184350;41186315;41195904;41195905;41195906;41195907;41195908;41195909;41195910;41195911;41195912;41195913;41195914;41195915;41195916;41197051;41215657;41215658;41215659;41215660;41217640;41226980;41226981;41226982;41226983;41226984;41226985;41226986;41226987;41226988;41226989;41226990;41228127;41234081;41240210;41246677;41246678;41246679;41246680;41246681;41246682;41246683;41246684;41246685;41246686;41246687;41257786;41257787;41257788;41257789;41257790;41257791;41257792;41257793;41264885;41277538;41277539;41277540;41277541;41277542;41277543;41277544;41277545;41288862;41288863;41288864;41288865;41288866;41288867;41288868;41288869;41288870;41288871;41288872;41295965;41295967;41295968;41299366;41308748;41308749;41308750;41308751;41308752;41308753;41308754;41308755;41320240;41320241;41320242;41320243;41320244;41320245;41320246;41320247;41320248;41320249;41320250;42876103;42876104;42934610;42934611;42934612;42934613;42934614;42934615;42934616;42942987;42942988;42942989;42942990;42942991;42954454;42954455;42954456;42954457;42954458;42954459;42954460;42954461;42954462;42954463;42954464;42954465;42954466;42954467;42954468;42954469;42954470;42954471;42954472;42954473;42954474;42954475;42954476;43035148;43035149;43035150;43035151;43035152;43035153;43035154;43035155;43035156;43035157;43035158;43035159;43035160;43035161;43035162;43035163;43035164;43035165;43035166;43035167;43035168;43035169;43035170;43035171;43035172;43035173;43035174;43035175;43035176;43035177;43035178;43035179;43035180;43035181;43035182;43035183;43035184;43035185;43035186;43035187;43035188;43035189;43035190;43035191;43035192;43035193;43035194;43035195;43035196;43035197;43035198;43035199;43035200;43035201;43035202;43035203;43035204;43035205;43035206;43035207;43035208;43138953;43138954;43138955;43138956;43138957;43138959;43138960;43138961;43138962;43138963;43138964;43138965;43138966;43138967;43138968;43138969;43138970;43138971;43138972;43138973;43138974;43138975;43138976;43138977;43138978;43138981;43138982;43138983;43138984;43138985;43149872;43149873;43149875;43149876;43149877;43149878;43149879;43149880;43149881;43149882;43149884;43149885;43149886;43149887;43149888;43149889;43149891;43149892;43149893;43149894;43149895;43149896;43149897;43149898;43161067;43161068;43161071;43161072;43161073;43161074;43161075;43161076;43161077;43161078;43161079;43161080;43161081;43161082;43161083;43161084;43161085;43161086;43161089;43161090;43161091;43161092;43171992;43171993;43171995;43171996;43171997;43171998;43172000;43172001;43172002;43172004;43172005;43172006;43172007;43172008;43172009;43172010;43172011;43172012;43172014;43172015;43172016;43172019;43172020;43172021;43172022;43172023;43172024;43172025;43172026;43172030;43182974;43182975;43182976;43182977;43182978;43182979;43182980;43182981;43182982;43182983;43182984;43182985;43182986;43182987;43182988;43182989;43182990;43182991;43182992;43182993;43182994;43182995;43182997;43182998;43182999;43183000;43183001;43183002;43183003;43183004;43183005;43183006;43183007;43183008;43183009;43183010;43183012;43183013;43183014;43183015;43183016;43183017;43183018;43193944;43193945;43193946;43193947;43193948;43193949;43193950;43193951;43193952;43193955;43193956;43193957;43193958;43193959;43193960;43193961;43193963;43193964;43193965;43193966;43193967;43193968;43193969;43193970;43193971;43193972;43193973;43193974;43193975;43193976;43193977;43193978;43193979;43193980;43193981;43193982;43204928;43204929;43204930;43204931;43204932;43204933;43204934;43204935;43204936;43204937;43204938;43204939;43204940;43204941;43204942;43204943;43204944;43204945;43204946;43204947;43204948;43204949;43204950;43215839;43215841;43215842;43215843;43215845;43215846;43215848;43215849;43215851;43215855;43215856;43215857;43215858;43215859;43215860;43215861;43215862;43215863;43215864;43215865;43215866;43215867;43215870;43215871;43215872;43215873;43215874;43215875;43215876;43215877;43215878;43258297;43258298;43263732;43263733;43263734;43269213;43269214;43274752;43274753;43280081;43280082;43285532;43285533;43290913;43290914;43587762;43587763;43587764;43587766;43587767;43587768;43605814;43605819;43605820;43605821;43605822;43605823;43605824;43605825;43623679;43623680;43623681;43623682;43623683;43623684;43623685;43623687;43623688;43623689;43641919;43641920;43641921;43641922;43641923;43641925;43641926;43641927;43641928;43641929;43641930;43660061;43660062;43660063;43660064;43660065;43660066;43660069;43660070;43660071;43678046;43678047;43678048;43678049;43695876;43695877;43695879;43695881;43695882;43713713;43713714;43713715;43713716;43713717;43713718;43713719;43713720;43713721;43713722;43713723;43731732;43731734;43731735;43731736;43731737;43731739;43749688;43749689;43749690;43749691;43749693;43767673;43767674;43767676;43767677;43767679;43767680;43767681;43767682;43785709;43785711;43785712;43785713;43785714;43785715;43803694;43803695;43803696;43803697;43803698;43803699;43821785;43821786;43821787;43821788;43821790;43821792;43839890;43839891;43839893;43839895;43839896;43857962;43857963;43857964;43857965;43857966;43857967;43857968;43857969;44025768;44027928;44027929;44027930;44033908;44033909;44036337;44036338;44036339;44040912;44043706;44046926;44046927;44046928;44046929;44049464;44049465;44049466;44053958;44056700;44059953;44062468;44062469;44062470;44062471;44062472;44066984;44069580;44075195;44075196;44075197;44075198;44079660;44079662;44082403;44085641;44088066;44088067;44088068;44092651;44092652;44095387;44098569;44098570;44098571;44101076;44101077;44105588;44105591;44111397;44111399;44111400;44113918;44113919;44118571;44118572;44118573;44127056;44127057;44163477;44174490;44174747,,,287
"No. of background glucose-lowering therapies, No. (%)",0,,0,,Medication history,Y,,,n,,,,,NA
"1 Antihypertensive medication, No. (%)",2662,,2682,,Medication history,,,,n,410,,,,240
ACE inhibitors,1330,,1342,,Medication history,,,,n,410,,,,376
ARBs,956,,928,,Medication history,,,,n,410,,,,269
Beta-blockers,1193,,1159,,Medication history,,,,n,410,,,,271
Diuretics,891,,885,,Medication history,,,,n,410,,,,374
Calcium antagonists,1099,,1137,,Medication history,,,,n,410,,,,272
Aspirin,1410,,1413,,Medication history,,,,n,410,,,,367
Statin,1913,,1987,,Medication history,,,,n,410,,,,373
