characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary,conceptSetId
CABG,1845,,1819,,Prior cardiovascular disease,,,,n,501,2100872;2100873;2107216;2107217;2107218;2107219;2107220;2107221;2107222;2107223;2107224;2107226;2107227;2107228;2107231;2107242;2107243;2107244;2107250;2108631;2617584;2721131;2721132;2721133;2721134;2724714;2724715;2724716;2724717;2724718;2724719;2724720;2724721;2724722;2724723;2724724;2724725;2724726;2724727;2724728;2724729;2724730;2724731;2724732;2724733;2724734;2724735;2724736;2724737;2724738;2724739;2724740;2724741;2724742;2724743;2724744;2724745;2724746;2724747;2724748;2724749;2724750;2724751;2724752;2724753;2724754;2724755;2724756;2724757;2724758;2724759;2724760;2724761;2724762;2724763;2724764;2724765;2724766;2725213;2725214;2725215;2725216;2725217;2725218;2725219;2725220;2725221;2725222;2725223;2725224;2725225;2725226;2725227;2725228;2725229;2725230;2725231;2725232;2725233;2725234;2725235;2725236;2725237;2725238;2725239;2725240;2725241;2725242;2725243;2725244;2725245;2725246;2725247;2725248;2725249;2725250;2725251;2725252;2725253;2725254;2725255;2725256;2725257;2725258;2725259;2725260;2725261;2725262;2725263;2725264;2725265;2725266;2725267;2725268;2725269;2725270;2725271;2725272;2725273;2725274;2725275;2725276;2725277;2725278;2725279;2725280;2725281;2725282;2725283;2725284;2725285;2725286;2725287;2725288;2725289;2725290;2725291;2725292;2725293;2725294;2725295;2725296;2725297;2725298;2725299;2725300;2725301;2725302;2725303;2725304;2725305;2725306;2725307;2725308;2725309;2725310;2725311;2725312;2725313;2725314;2725315;2725316;2725317;2725318;2725319;2725320;2725321;2725322;2725323;2725324;2725325;2725326;2725327;2725328;2725329;2725330;2725331;2725332;2725333;2725334;2725335;2725336;2725337;2725338;2725339;2725340;2725341;2725342;2725343;2725344;2725345;2725346;2725347;2725348;2725349;2725350;2725351;2725352;2725353;2725354;2725355;2725356;2725357;2725358;2725359;2725360;2725361;2725362;2725363;2725364;2725365;2725366;2725367;2725368;2725369;2725370;2725371;2725372;2725373;2725374;2725375;2725376;2725377;2725378;2725379;2725380;2725381;2725382;2725383;2725384;2725385;2725386;2725387;2725388;2725389;2725390;2725391;2725392;2725393;2725394;2725395;2725396;2725397;2725398;2725399;2725400;2725401;2725402;2725403;2725404;2725405;2725406;2725407;4000732;4000733;4011931;4018579;4018692;4018693;4018762;4020213;4020217;4140107;4146972;4148030;4148779;4166585;4168141;4169964;4173645;4173656;4189169;4219321;4233420;4233421;4253805;4302815;4305509;4309432;4336464;4336465;4336466;4336467;4337056;4337737;4339629;37111313;42537524;42537525;42537526;42537527;42537528;42537529;42537530;42537531;42537532;42537533;42537534;42539671;42894223;42894224;42894225;42894226;42894227;42894228;42894229;42894230;42894231;42894232;42894233;42894234;42894235;42894236;42894237;42894238;42894239;42894240;42894241;42894242;42894243;42894244;42894245;42894246;42894247;42894248;42894249;42894250;42894251;42894252;42894253;42894254;42894255;42894256;42894257;42894258;42894398;42894399;42894400;42894401;42894402;42894403;42894404;42894405;42894406;42894407;42894408;42894409;43528000;43528001;43528002;43528003;43528004;44511074;44511075;44511077;44511079;44511082;44511083;44511085;44511086;44511087;44511088;44511089;44511091;44511092;44511093;44511094;44511095;44511099;44511107;44511110;44511114;44806690,,,289
Prior cerebrovascular disease,1806,,1782,,Medical history,,,,n,210,381591,,,408
Prior Peripheral arterial disease,1217,,1216,,Medical history,,,,n,210,134380;318712;321052;321822;443729;761463;761464;761465;761466;761467;3176677;3181089;3184873;3192767;3198350;4033350;4055720;4116977;4119612;4124836;4124837;4124838;4124839;4131908;4139577;4139578;4139579;4146012;4168060;4199887;4200875;4202511;4208071;4235591;4253510;4263089;4263648;4289307;4291464;4294425;4299117;4299127;4301022;4301023;4301024;35615036;35615071;35615073;36713094;42572961;42597028;42597030;42599607;43020443;43021846;44782775;44811347;44811348,,,199
Prior Congestive heart failure,1303,,1340,,Medical history,,,,n,210,314378;316994;319835;439694;439696;439698;762002;762003;764874;4023479;4139864;4142561;4206009;4215446;4229440;4242669;4284562;4327205;36712927;36712928;36713488;37309625;43021825;43021826;43022068;44782428;44782655;44782713;44782728;44784345;44784442,,,309
NYHA class 3 or higher,171,,202,,Medical history,Y,,,n,210,,,,NA
Cigarette smoking,0,,0,,Demographics,Y,,,n,,,,,NA
Metformin,5936,,6030,,Medication history,,,,n,410,,,,281
Sulfonylurea,3346,,3299,,Medication history,,,,n,410,,,,137
Thiazolidinedione,196,,200,,Medication history,,,,n,410,1515249;1515250;1515251;1515253;1515254;1515256;1515258;1525215;1525216;1525217;1525218;1525220;1525221;1525242;1525243;1525244;1547504;1547505;1547506;1547507;1547508;1547510;1547554;1597781;1597792;1597795;1597796;1597798;1597799;1597801;19017142;19017144;19017854;19017855;19017856;19022851;19047414;19047828;19047829;19048032;19048034;19048036;19079293;19079465;19082032;19099055;19099070;19099207;19099208;19099209;19099245;19099246;19099278;19107077;19117169;19117170;19117171;19120166;19120648;19122366;19122367;19122368;19126618;19126619;19135385;19135386;19135387;19135388;21022393;21022394;21022395;21025941;21025942;21025943;21025944;21025945;21025946;21025947;21025948;21025949;21025950;21025951;21025952;21026002;21026003;21026004;21028479;21032120;21032121;21032122;21032123;21032124;21032125;21032126;21035702;21035703;21035705;21035706;21035707;21035708;21035709;21035710;21035711;21035712;21035713;21035714;21035715;21035716;21035717;21035718;21035719;21035720;21035721;21035722;21035723;21035724;21035725;21035774;21035775;21042068;21042069;21042070;21042071;21042072;21042073;21045568;21045569;21045570;21045571;21045572;21045573;21045574;21045575;21045576;21045577;21045578;21045579;21045580;21045581;21045582;21045583;21045584;21045585;21045586;21045648;21045649;21051805;21051806;21051808;21051809;21051810;21051811;21055355;21055356;21055357;21055358;21055359;21055360;21055361;21055362;21055363;21055364;21055365;21055366;21055418;21055419;21055420;21055421;21061608;21065185;21065186;21065187;21065190;21065191;21065192;21065193;21065194;21065195;21065196;21065197;21065198;21065199;21065200;21065201;21065258;21065259;21071547;21071548;21071549;21075131;21075132;21075134;21075135;21075136;21075137;21075138;21075139;21075140;21075141;21075192;21081244;21081245;21081246;21081247;21081248;21081250;21084833;21084834;21084835;21084836;21084837;21084838;21084839;21084840;21084841;21084842;21084843;21084844;21084893;21090991;21090992;21090993;21090994;21090995;21090996;21094598;21094599;21094600;21094601;21094602;21094603;21094604;21094605;21094606;21094652;21094653;21094654;21100917;21100918;21104522;21104523;21104524;21104525;21104526;21104527;21104528;21104529;21104530;21104531;21104532;21104533;21104534;21104576;21104577;21110737;21110738;21114285;21114286;21114287;21114288;21114289;21114290;21114291;21114292;21114293;21114294;21114341;21114342;21114343;21114344;21120427;21120428;21120429;21120430;21123908;21123909;21123910;21123911;21123912;21123915;21123916;21123917;21123918;21123919;21123920;21126504;21130183;21130184;21130185;21130186;21130187;21130188;21130189;21133783;21133784;21133785;21133786;21133787;21133788;21133789;21133790;21133791;21133845;21133846;21133848;21133849;21140120;21140121;21143706;21143707;21143708;21143709;21143710;21143711;21143712;21143713;21143714;21146233;21149969;21149970;21153633;21153634;21153636;21153637;21153638;21153639;21153640;21153641;21153642;21153693;21153694;21153695;21153696;21159920;21159922;21159923;21159924;21163435;21163436;21163437;21163438;21163439;21163440;21163441;21163442;21163443;21163444;21163445;21163499;21169709;21169710;21169711;21169713;21169715;21169716;21169717;21173211;21173212;21173213;21173214;21173215;21173216;21173217;21173218;21173219;21173220;21173221;21173222;21173223;21173275;21173276;21173278;21173279;21600779;21600780;21600781;21600782;35129114;35129119;35129177;35129596;35132250;35132361;35132587;35132705;35133282;35133964;35134069;35134756;35135292;35136116;35136482;35137126;35137913;35138635;35138736;35139370;35139484;35140591;35141471;35141617;35141636;35141765;35142489;35143812;35144699;35144982;35145268;35146376;35146644;35146655;35147154;35147584;35147684;35148101;35148364;35148373;35148481;35149847;35150560;35150643;35150994;35151017;35151071;35151086;35152259;35152441;35152664;35152980;35153327;35153570;35153860;35154064;35154134;35154171;35154361;35154469;35154621;35154677;35155419;35155778;35155929;35156115;35156539;35156608;35156627;35156803;35157020;35157060;35157236;35157864;35157963;35157968;35158183;35158254;35158272;35158395;35159186;35159526;35159782;35160813;35161123;35161641;35162071;35747016;35747017;35751120;35759496;35767847;35772201;36214980;36214981;36214982;36214983;36220120;36220121;36220722;36220723;36222784;36222785;36223131;36223132;36223137;36223138;36227624;36227625;36229116;36229117;36229365;36229366;36230353;36230354;36235581;36235582;36236322;36236323;36236324;36236325;36240297;36240298;36246269;36246270;36246271;36246272;36505142;36505431;36506987;36812050;36813909;36887788;36893209;40063306;40099632;40099633;40099897;40099898;40100066;40100067;40100068;40126689;40129534;40135391;40143322;40143966;40153895;40159908;40164885;40164886;40164887;40164888;40164889;40164890;40164904;40164905;40164906;40164913;40164914;40164915;40164916;40164917;40164918;40164919;40164920;40164921;40164943;40164944;40164945;40171448;40171449;40171450;40171451;40173226;40173227;40173234;40173235;40173236;40173237;40173238;40173239;40741468;40741469;40741470;40741471;40741472;40741473;40741474;40741475;40741476;40741477;40741478;40741479;40741480;40741481;40741482;40741483;40741484;40741485;40741486;40741487;40741488;40741489;40748906;40748907;40748908;40748909;40748910;40748911;40748912;40748913;40748914;40748915;40748916;40748917;40748918;40748920;40748921;40748922;40748923;40748924;40748925;40748926;40748927;40748928;40748929;40748930;40748931;40748932;40748933;40748934;40748935;40748936;40748937;40748938;40748939;40748940;40748941;40748942;40822416;40823294;40825845;40826337;40835235;40841607;40843547;40843548;40845667;40845668;40852638;40852639;40852640;40852641;40852642;40852643;40852644;40852645;40853753;40866381;40872786;40872787;40872788;40876772;40876773;40883883;40883884;40883885;40883886;40885000;40885001;40890728;40896945;40897525;40898290;40898291;40903797;40903798;40905687;40907780;40914218;40914806;40914807;40914808;40914809;40914810;40914811;40914812;40915894;40915895;40916939;40916940;40922466;40927930;40927931;40927932;40928549;40929400;40935020;40935021;40935022;40935023;40939098;40939099;40945580;40946183;40946184;40946185;40946186;40946187;40946188;40947291;40948324;40951080;40958930;40959245;40959881;40959882;40966206;40968097;40968098;40970152;40977147;40978272;40978273;40978274;40978275;40978276;40978277;40982218;40984832;40991940;40991941;40991942;41001452;41001453;41008484;41008485;41008486;41008487;41009629;41010624;41013493;41022060;41028565;41030459;41030460;41032557;41039597;41039598;41039599;41039600;41039601;41039602;41039603;41040694;41040695;41040696;41040697;41059723;41059724;41059725;41059726;41061580;41070243;41070244;41070245;41070863;41070864;41070865;41070866;41070867;41070868;41070869;41070870;41070871;41071950;41072987;41078152;41078607;41085736;41090262;41091350;41091351;41091352;41091353;41091354;41095275;41101684;41102289;41102290;41102291;41102292;41102293;41102294;41102295;41102296;41102297;41103395;41122470;41122471;41126495;41126496;41133638;41133639;41133640;41133641;41133642;41133643;41133644;41133645;41133646;41133648;41134823;41134824;41134825;41134826;41138856;41140927;41141379;41144756;41147643;41148433;41164959;41164960;41164961;41164962;41164963;41164964;41164965;41164966;41164967;41164968;41164969;41164970;41166097;41166098;41171736;41172044;41172493;41178001;41178667;41179509;41179510;41179511;41185022;41185023;41185024;41186998;41186999;41196300;41196301;41196302;41196303;41196304;41197460;41198488;41204005;41209495;41210095;41216355;41216356;41216357;41218245;41220303;41220304;41220305;41220306;41226768;41226769;41227398;41227400;41227401;41227402;41227403;41232431;41234538;41238199;41240463;41240464;41241079;41241854;41241855;41241856;41241857;41249259;41258189;41258190;41258191;41258192;41258193;41258194;41258195;41258196;41258197;41258199;41258200;41259336;41259337;41260357;41268475;41271887;41271888;41272708;41278216;41278217;41278218;41280055;41280056;41282184;41289290;41289291;41289292;41289293;41289294;41289295;41289296;41289297;41290419;41290420;41290421;41290422;41291430;41294353;41296099;41296461;41303023;41303024;41303025;41303862;41309455;41309456;41311403;41311404;41313480;41320053;41320636;41320637;41320638;41320639;41320640;41320641;41320642;41320643;41320644;41320645;41320646;41321738;41321739;42968754;42968755;42968756;42968757;42968758;42968759;42968760;42968761;42968762;42968763;42968764;42968765;42968766;42968767;42968768;42968769;42968770;42968771;42968772;42968773;42968774;42968775;42968776;42968777;42968778;42968779;42968780;42968781;42968782;42968783;42968784;42968785;42968786;42968787;42968788;42968789;42968790;42968791;42968792;42968793;42968794;42968795;42968796;42968797;42968798;42968799;42968800;42968801;42968802;42968803;42968804;42968805;42968806;42968807;42968808;42968809;42968810;42968811;42968812;42968813;42968814;42968815;42968816;42968817;42968818;42968819;42968820;42968821;42968822;42968823;42968824;42968825;42968826;42968827;42968828;42968829;42968830;42968831;42968832;42968833;42968834;42968835;42968836;42968837;42968838;42968839;42968840;42968841;42968842;42968843;42968844;42968845;42968846;42968847;42968848;42968849;42968850;42968851;42968852;42968853;42968854;42968855;42968856;42968857;42968858;42968859;42968860;42968861;42968862;42968863;42968864;42968865;42968866;42968867;42968868;42968869;42968870;42968871;42968872;42968873;42968874;42968875;42968876;42968877;42968878;42968879;42968880;42968881;42968882;42968883;42968884;42968885;42968887;42968888;42968889;42968890;42968891;42968892;42968893;42968894;42968895;42968896;42968897;42968898;42968899;42968900;42968901;42968902;42968903;42968904;42968905;42968906;42968907;42968908;42968909;42968910;42968911;42968912;42968913;42968914;42968915;42968916;42968917;42968918;42968919;42968920;42968921;42968922;42968923;42968924;42968925;42968926;42968927;42968928;42968929;42968930;42968931;42968932;42968933;42968934;42968935;42968936;42968937;42968938;42968939;42968940;42968941;42968942;42968943;42968944;42968946;42968947;42968948;42968949;42968950;42968951;42968952;42968953;42968954;42968955;42968956;42968957;42968958;42968959;42968960;42968961;42968962;42968963;42968964;42968965;42968966;42968967;42968968;42968969;42968970;42968971;42968972;42968973;42968974;42968975;42970728;42970729;42970730;42970731;42970732;42970733;42970734;42970735;42970736;43013888;43013893;43013902;43013903;43013904;43013905;43013906;43013907;43013908;43013909;43013910;43013915;43013916;43013917;43013918;43013919;43013920;43013921;43013922;43013923;43257189;43257190;43257191;43257192;43257193;43257194;43257195;43257197;43257198;43257199;43257200;43257201;43257202;43257203;43262574;43262575;43262576;43262577;43262578;43262579;43262580;43262581;43262582;43262583;43262584;43262585;43262586;43262587;43262588;43262589;43262590;43262591;43262592;43262593;43262594;43262595;43262597;43262598;43262599;43262600;43268041;43268042;43268043;43268045;43268046;43268047;43268048;43268049;43268050;43268051;43268052;43268053;43268054;43268055;43268056;43268057;43268059;43268060;43268061;43272756;43273565;43273566;43273567;43273568;43273569;43273570;43273571;43273572;43273573;43273574;43273575;43273576;43273577;43273578;43273579;43273580;43273581;43273582;43273583;43273584;43273585;43273586;43278983;43278984;43278986;43278987;43278988;43278989;43278990;43278991;43278992;43283550;43284380;43284381;43284382;43284383;43284384;43284385;43284386;43284387;43284388;43284389;43284390;43284391;43284392;43284393;43284394;43284395;43289759;43289760;43289761;43289762;43289763;43289764;43289765;43289766;43289767;43289768;43289769;43289770;43289771;43289772;43289773;43289774;43294431;43294432;43295194;43295195;43295196;43295197;43295198;43295199;43295200;43295201;43295202;43295203;43295204;43295205;43295207;43295208;43295209;43295210;43295211;43295212;43295213;43295214;43295215;43588581;43588582;43588583;43606611;43624463;43624464;43624465;43624466;43660877;43678847;43678848;43678849;43678850;43696693;43696694;43714575;43714576;43732598;43750542;43768522;43768523;43768524;43786502;43822625;43840717;43840718;43858797;44025541;44027896;44028080;44028081;44028082;44030612;44034057;44034058;44034059;44034060;44034061;44034062;44034063;44034064;44034065;44036287;44036288;44036289;44036290;44036545;44036546;44036547;44036548;44036549;44036550;44036551;44036552;44036553;44037378;44037379;44040869;44040870;44040871;44041048;44041049;44041050;44041051;44041052;44043687;44046884;44046885;44046886;44047078;44047079;44047080;44047081;44047082;44049416;44049417;44049418;44049419;44049686;44049687;44049688;44049689;44050549;44054117;44054118;44054119;44054120;44054121;44054122;44056777;44059901;44060088;44060089;44060090;44060091;44060092;44060093;44060094;44060095;44060096;44062419;44062702;44062703;44062705;44062706;44062707;44062708;44062709;44067124;44067125;44067126;44067127;44067128;44067129;44067130;44067131;44067132;44067133;44067134;44069564;44069682;44072889;44072890;44072891;44072892;44072893;44072894;44072895;44072896;44072897;44072898;44072899;44072900;44072901;44075418;44075419;44075420;44075421;44075422;44075423;44075425;44075426;44075427;44075428;44075429;44079630;44079784;44079785;44079786;44079787;44079788;44079789;44079790;44079791;44079792;44082381;44082496;44082497;44082498;44085605;44085606;44085794;44085795;44085796;44085797;44085798;44088285;44088286;44088287;44088288;44088289;44092624;44092779;44092780;44092781;44092782;44092783;44092784;44092785;44092786;44092787;44092788;44095466;44095467;44095468;44095469;44095470;44098536;44098537;44098728;44098729;44098730;44101301;44101302;44101303;44101304;44101305;44101306;44101307;44101308;44105547;44105730;44105731;44108222;44108223;44108328;44108329;44111366;44111545;44111546;44111547;44111548;44111549;44113870;44114137;44114138;44114139;44114140;44114141;44114142;44114143;44114144;44114145;44114146;44114147;44118534;44118535;44118706;44118707;44118708;44118709;44118710;44118711;44118712;44118713;44118714;44118715;44118716;44121397;44121398;44121399;44121400;44121401;44121402;44121403;44124743;44124744;44124745;44124746;44124747;44124748;44124749;44124750;44127276;44127277;44127278;44127279;44127280;44127281;44127282;44127658;44158962;44159003;44167056;44170797;44171065;44171066;44171067;44174570;44186089;44186090,,,282
Insulin,1724,,1684,,Medication history,,,,n,410,,,,325
